ufs_serial,pred,pred_base_postprocess,health
S00136,0.0029572997349977346,0.002845372245099181,0.0024124339857098
S00137,0.002911937111019324,0.002936097493056003,0.0
S00138,0.002947668169930231,0.002864635375234189,0.0024209654634906
S00139,0.003464456357606653,0.0031506988658773633,0.0023857183316292
S00142,0.0035113414221533417,0.0030569287367839854,0.0023883666839667
S00144,0.00137981972287288,0.0017335628360440102,0.0
S00145,0.002913881323909181,0.0029322090672762886,0.0048074365336157
S00146,0.0035163096488534436,0.003046992283383781,0.0
S00148,0.003506190460047056,0.0030672306609965568,0.0023848940713548
S00149,0.0029902595706053055,0.0029800720672367026,0.0
S00150,0.0004772751540042873,0.0009409029969984727,0.0024284534611569
S00151,0.0018542453818419819,0.0019644312014624036,0.0
S00152,0.0004687129240233698,0.0009580274569603077,0.0
S00153,0.0011092866577806022,0.0013959549646314594,0.0
S00154,0.001811135255090397,0.0020506514549655736,0.0024048348309115
S00155,0.0010920990340756898,0.0015016862306610796,0.0
S00156,0.0014217234144466278,0.0016497554528965147,0.0
S00157,0.002177337595933788,0.002286345435788725,0.0023905723905723
S00158,0.0013809051723133584,0.0017313919371630534,0.0
S00162,0.0029463539784876486,0.0028672637581193534,0.0
S00164,0.0029054973935885757,0.0029489769279174996,0.0
S00165,0.0030126311992226262,0.0027347093166493978,0.0
S00166,0.0034827214620511537,0.003114168656988361,0.0
S00168,0.0035649936121808575,0.0034433523872870386,0.0044468304030778
S00169,0.003525262504291466,0.0035791965780403107,0.002185201306724
S00170,0.0035888960809742545,0.0033955474497002446,0.0
S00171,0.003573848349742901,0.0034256429121629515,0.002232734493277
S00174,0.0036074943717834505,0.0032858791409617486,0.0
S00175,0.003597338381008058,0.003306191122512535,0.0
S00177,0.0035540559779094543,0.003465227655829845,0.0043713251623854
S00178,0.0035714689490907777,0.0034304017134671985,0.0
S00180,0.0030399681442734,0.0026800354265478507,0.0
S00181,0.0030523702896671848,0.0026552311357602807,0.0
S00183,0.003006389547350804,0.002747192620393043,0.0
S00185,0.0036056919106997767,0.0033619557902492,0.0
S00186,0.0035078598854762933,0.0030638918101380825,0.0
S00187,0.002175962981005675,0.00228909466564495,0.0023849627379564
S00188,0.0034752442076174525,0.0031291231658557633,0.0
S00189,0.0017868918583856452,0.002099138248375077,0.0
S00191,0.00250763474577942,0.002484254543011128,0.0
S00192,0.0025359923440729047,0.0024275393464241587,0.0
S00193,0.00249536103825292,0.002524250199126683,0.0
S00194,0.0013843299208589764,0.0017245424400718177,0.0023942345675443
S00199,0.003040319023415781,0.002679333668263088,0.0
S00201,0.0029572837151468218,0.0028454042848010076,0.0
S00202,0.0034273743252848593,0.0032248629305209496,0.0
S00205,0.003434497708789345,0.0032106161635119795,0.0024191978193146
S00206,0.002986069072945187,0.002787833569204277,0.0
S00207,0.00360676018506913,0.003287347514390391,0.0024246859373094
S00208,0.0034538308489762007,0.003171949883138267,0.0
S00210,0.0034675726967813413,0.0031444661875279856,0.0
S00211,0.003596848739901937,0.003379642131844879,0.0024002356770644
S00214,0.0025372014243928457,0.002425121185784276,0.0
S00216,0.002214599860872017,0.002211820905912267,0.0
S00217,0.0021942687435161324,0.0022524831406240354,0.0
S00218,0.0036012367224351072,0.0032983944396584356,0.0
S00220,0.0035941697774043444,0.0033125283297199618,0.0048111362800333
S00221,0.0036076564149043035,0.003358026781840147,0.0024405814181889
S00223,0.0034050087009269417,0.003269594179236786,0.0
S00226,0.0035406923552982563,0.003491954901052241,0.0
S00227,0.0014321834004113695,0.001628835480967031,0.0
S00229,0.0031539563782274293,0.0030247639591581598,0.0
S00233,0.0018332253015722266,0.0020064713620019142,0.0
S00237,0.002555286784431542,0.0023889504657068836,0.0
S00238,0.0006720827750861723,0.00107123163224417,0.0
S00245,0.0010953137227799757,0.0014952568532525076,0.0
S00247,0.0031634919255418077,0.003005692864529403,0.0
S00248,0.0025429881124379803,0.0025299031092517934,0.0048394556829523
S00249,0.0029574800941208684,0.0028450115268529143,0.0072902762090563
S00252,0.0017986446550100517,0.002075632655126264,0.0
S00253,0.0025414949657096182,0.0025328894027085167,0.0
S00257,0.0022026263169829434,0.0022357679936904134,0.0122792453576052
S00258,0.0021739327442185925,0.0022931551392191157,0.004889013491513
S00259,0.0029224686406591057,0.0029150344337764388,0.0
S00260,0.003040458493845482,0.002679054727403687,0.0
S00261,0.0029213471383027143,0.0029172774384892217,0.0
S00262,0.0031654319191253325,0.0030018128773623533,0.0
S00264,0.0029054048073167017,0.0029491621004612474,0.0
S00265,0.002942024386918337,0.002875922941257977,0.0021986286219862
S00267,0.002923936296502083,0.0029120991220904844,0.0022214176846302
S00268,0.0028986857921872037,0.002962600130720244,0.0
S00269,0.0031649208616464576,0.003002834992320103,0.0
S00270,0.0029160309453560122,0.0029279098243826266,0.0021931566452205
S00271,0.0029064574556336483,0.0029470568038273536,0.0
S00273,0.0030307186459550195,0.0026985344231846113,0.0023947190902958
S00275,0.0029577688305160287,0.0028444340540625937,0.0
S00277,0.003546391868190634,0.003480555875267486,0.0
