feature,mean_abs_shap,mean_shap,rank
X865,3.284248176224679e-05,-1.1847737209087842e-06,172
X576,3.2795818946235154e-05,1.097235762559611e-06,173
X390,3.259531156515694e-05,-2.4234089555317503e-08,174
X11,3.212262462601512e-05,4.2357510665818136e-07,175
X466,3.211932423504555e-05,-2.0176055401546353e-06,176
X650,3.208391313320325e-05,2.326873035804358e-07,177
X830,3.181167761355916e-05,2.5915296771780563e-07,178
X1000,3.170169668963601e-05,-7.286696067159766e-07,179
X601,3.108129085484611e-05,-1.5760251815936415e-07,180
X807,3.0618466719442225e-05,-1.1134261635846634e-06,181
X1083,3.0472330690853928e-05,1.1954916185187494e-06,182
X852,3.0296622202626216e-05,2.9151956431480055e-06,183
X997,3.0230700345401166e-05,3.0064027620390967e-06,184
X376,3.0101525410612907e-05,-2.4027281578028596e-06,185
X560,2.9830508536192764e-05,1.46577377670885e-06,186
X613,2.9780343818734255e-05,7.819013974583455e-07,187
X577,2.9738814849489738e-05,5.540027493282675e-07,188
X319,2.956798650044747e-05,1.2951109196549295e-06,189
X931,2.942107302904354e-05,2.9312640077342996e-07,190
X146,2.9389969314382902e-05,5.639707112452404e-07,191
X1015,2.913912967388908e-05,-2.0933173587036167e-06,192
X56,2.8967207570877935e-05,3.041799076105218e-07,193
X668,2.8865987883714968e-05,-4.084994118093429e-07,194
X721,2.885562555789812e-05,-1.0715256266786354e-06,195
X465,2.8797939756645646e-05,1.4131257298420229e-06,196
X498,2.864872803768641e-05,-3.845007175919159e-07,197
X844,2.845086693259894e-05,1.3841834763615986e-06,198
X485,2.838257057941509e-05,4.770098309361791e-07,199
X129,2.810042315634283e-05,5.218364172168436e-07,200
X829,2.8004252894624406e-05,-6.20718794815334e-07,201
X497,2.774067124822697e-05,-8.109149906873976e-07,202
X753,2.770030416222006e-05,1.5011276097386013e-06,203
X73,2.7557257261989236e-05,9.543239650978663e-07,204
X582,2.692939465025351e-05,-4.0987174355000375e-06,205
X71,2.682708049109269e-05,-7.10827188509594e-07,206
X1018,2.670112011949657e-05,-2.2602036630445758e-06,207
X877,2.6599605703109577e-05,2.4267958795661223e-06,208
X16,2.6005624511487008e-05,8.836155309667374e-08,209
X200,2.5952552756273944e-05,-4.5761754964657836e-07,210
X804,2.5925837376103804e-05,-4.272328817655474e-06,211
X584,2.59170072615126e-05,-4.2077697334601155e-07,212
X58,2.5867077030276026e-05,2.4161368434586735e-07,213
X145,2.5732057470804205e-05,-2.7109690098435575e-07,214
X1045,2.569590484414792e-05,1.588006977691855e-07,215
X664,2.5536930768068035e-05,-7.010456598418344e-09,216
X750,2.527367523597268e-05,1.1016340696472858e-06,217
X193,2.5264398681241284e-05,9.539867588628031e-07,218
X361,2.5202721333687955e-05,1.680223340649997e-06,219
X891,2.5199324501994198e-05,1.304985116311567e-06,220
X78,2.517103003057378e-05,1.4484074687330523e-06,221
X415,2.5144822018631913e-05,1.8107264650479946e-06,222
X903,2.4833683413454856e-05,-1.8556789291788908e-06,223
X790,2.4657740079769462e-05,5.254594696306878e-07,224
X860,2.40933743086419e-05,1.3910696020653943e-06,225
X165,2.4035735436448464e-05,-7.300182086235892e-07,226
X606,2.3996153996508168e-05,-1.9631926688294694e-07,227
X884,2.3446592996385762e-05,2.173117554177015e-06,228
X585,2.342191616627036e-05,2.8344265804988518e-06,229
X24,2.325675323370129e-05,-2.841200576086236e-07,230
X761,2.305976326059723e-05,1.8505530113975365e-06,231
X734,2.2969576839915992e-05,2.6848122356760125e-06,232
X857,2.2869075668236373e-05,1.3549498049463446e-07,233
X818,2.2786962590347222e-05,-4.7088795965151705e-06,234
X800,2.2596287802621536e-05,3.3593746223512807e-06,235
