run_id,wafer_no,total_dies,risk_dies,avg_ppm
66,1,20,0,2285.2
66,2,22,0,2641.9
66,3,23,0,2140.1
66,4,20,0,2734.0
66,5,23,0,3123.2
66,6,27,0,1260.5
66,7,15,0,1552.2
66,8,21,0,3135.8
66,9,21,0,2768.1
66,10,20,0,1203.1
66,11,26,0,2585.8
66,13,20,11,3217.6
66,14,26,0,1984.7
66,16,23,0,3153.4
66,17,24,0,1811.5
66,18,15,0,3002.4
66,19,32,0,1491.5
66,20,24,0,2726.8
66,21,13,0,3084.4
66,23,19,0,658.1
66,24,18,0,1561.5
66,25,21,0,2880.4
67,3,16,0,1317.1
67,4,12,0,1030.5
67,5,11,0,1377.6
67,6,11,0,1730.5
67,7,6,0,2413.6
67,9,6,0,2101.0
67,10,8,0,1631.9
67,11,11,0,1185.3
67,12,6,0,3146.1
67,13,8,0,2883.6
67,15,3,0,3172.2
67,16,5,0,2791.8
67,17,2,0,3182.7
67,18,4,0,3225.8
67,19,1,0,3114.0
67,21,3,0,3129.7
67,22,11,0,3100.7
67,24,2,0,2749.3
68,10,20,5,3158.5
68,12,19,12,3355.8
68,14,17,0,2961.8
68,17,17,0,2900.9
68,18,24,3,3176.7
68,19,22,0,2261.3
68,20,16,0,3007.6
68,21,12,0,2480.5
68,22,18,0,1919.5
68,23,22,0,1755.4
68,24,19,0,1710.8
68,25,19,0,2990.1
69,2,20,16,3259.5
69,4,24,17,3289.7
69,5,22,13,3285.3
69,6,23,3,3259.3
69,8,18,16,3356.8
69,10,24,21,3378.7
69,11,15,4,3184.2
69,15,14,0,1519.0
69,16,22,0,1864.4
69,17,21,0,2679.4
69,18,22,0,2869.1
69,20,24,0,2457.9
69,21,28,0,2391.0
70,1,23,20,3374.2
