ufs_serial,month,X1064,X592,X1066,X1071,X1068,X727,X1063,X1060,X1003,X995,X1070,X594,X1002,X718,X726
S00000,2025-10,8.4458618,-0.8566507,2.8122125,4.27376,2.6170271,27.7975,24.670682100000004,14.3875913,284.65,1758.25,87.10917059999998,1157.0,2076.0,990.5,1057.75
S00002,2025-10,9.1478489,0.3402778,1.6388853,5.0441614,2.9980573,26.36,27.0743845,14.9777599,288.5,1771.5,88.15302919999998,1459.0,1939.25,986.75,967.25
S00003,2025-10,9.9376722,-0.2386775,2.5923469,8.371183199999999,2.835689,27.6275,21.8150862,18.6500745,286.1,1759.25,84.79711479999999,1335.75,2090.25,1027.0,1016.5
S00004,2025-10,10.8608486,0.5354618,2.3095776000000003,13.1079831,2.1075463,,19.1418849,22.3000654,282.5775,1777.5,83.6059441,,2054.25,1153.75,1041.5
S00009,2025-10,8.899789799999997,-1.2650859,2.4674487000000003,4.882024599999999,2.8921658,28.565,25.1286633,16.1805935,289.65,1765.25,88.55240479999998,1508.0,1975.0,1013.5,1021.0
S00012,2025-10,10.8039393,2.2634804,8.320050499999999,4.912078999999999,4.8972864000000005,,20.2246352,15.8107616,287.9525,1776.5,81.6498088,,2174.25,952.5,1030.25
S00013,2025-10,10.332818,-1.3956061000000002,4.3614882,10.7635837,2.4555892000000004,,25.9120995,20.2955647,286.335,1765.0,83.73906939999998,,1997.0,1048.25,1037.75
S00015,2025-10,16.7740176,0.8683711999999999,5.0536108,4.423670899999999,4.033723,40.125,34.3656536,18.4033169,282.2,1791.5,83.4231566,1682.0,2016.5,998.75,941.5
S00017,2025-10,10.6204081,0.6721573000000001,3.8883157,12.7274121,2.7500147,29.4525,25.2608699,21.6394965,286.35,1803.0,81.4910053,1116.0,2027.75,1208.25,1142.25
S00018,2025-10,9.404786,0.7927071,4.6821735,9.3494971,5.415555,26.6,20.824851100000004,13.950443900000002,283.1,1753.75,82.70195759999999,1073.5,2020.0,1049.0,1051.25
S00020,2025-10,10.3591255,-2.2765048,4.0424597,10.1019833,3.6494188,31.59,20.0720396,19.3255191,286.15,1760.25,80.3522155,1948.75,2221.25,1008.75,981.0
S00021,2025-10,8.243144299999999,1.4631043,3.679121700000001,5.1398704,3.470965,28.7825,21.661330300000003,14.399515699999998,285.85,1789.0,85.8415965,1328.75,1967.75,1004.0,1016.25
S00022,2025-10,7.9836813,-3.3024651,2.0227204,3.7437953,3.1562657000000005,30.545,23.5060918,13.3479023,288.3,1752.5,90.2546883,1579.0,2273.75,974.75,1039.5
S00023,2025-10,7.4208694,-0.9937376,3.57038,2.6461036,3.3284315,26.49,18.1499645,10.400292599999998,285.55,1766.5,89.11448209999998,1883.5,1941.0,962.5,967.75
S00024,2025-10,9.6612215,0.3043727,3.260097,6.7948954,3.6366212,27.445,17.0381634,15.4137324,284.8,1775.25,86.35153389999998,1323.25,2008.5,911.75,1008.25
S00025,2025-10,8.7600517,0.1267857,1.5070852,6.676767699999999,2.8596666,24.44,20.485935100000003,15.419456299999998,288.2,1755.25,87.5084694,1609.0,2114.75,1004.5,1063.5
S00026,2025-10,8.512185299999999,0.1221225,3.0477253,4.100778399999999,2.8863638,24.765,21.1392203,14.337574599999998,287.9,1759.5,88.9193712,1383.0,1983.25,969.25,1046.5
S00027,2025-10,7.4208694,-0.9937376,3.57038,2.6461036,3.3284315,26.4625,18.1499645,10.400292599999998,288.65,1776.25,89.11448209999998,1864.0,1923.75,933.0,1003.0
S00028,2025-10,9.404786,0.7927071,4.6821735,9.3494971,5.415555,27.0825,20.824851100000004,13.950443900000002,286.5,1772.75,82.70195759999999,1864.0,1987.0,936.75,1028.5
S00029,2025-10,7.9487076,-0.1521739,2.5312627999999995,4.4271729,4.1814198,,24.1911063,13.2239773,283.985,1767.25,86.85516390000001,,2019.0,998.25,1004.5
S00031,2025-10,10.7996232,0.8958332999999999,4.2967206,2.8499324,2.9150032,,27.4501016,15.6504431,287.415,1796.5,87.5092011,,1984.0,1115.25,1034.25
S00032,2025-10,8.959982,1.646656,3.253807,4.708506,4.1486257,,25.341038,14.3257735,285.59000000000003,1722.25,88.97663879999998,,2139.0,959.25,1054.5
