die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
30,25,567,0.00255738,0.00392496,0.00091679,201,35.45,2557.4,3925.0,9.657
30,26,706,0.00260059,0.00393961,0.0009547,278,39.38,2600.6,3939.6,10.062
30,27,646,0.00253925,0.00385719,0.00097123,208,32.2,2539.2,3857.2,10.548
30,28,657,0.0023005,0.00373989,0.00096246,145,22.07,2300.5,3739.9,11.102
30,29,621,0.00228919,0.00375808,0.00097234,171,27.54,2289.2,3758.1,11.715
30,30,701,0.00241197,0.00363839,0.00084773,155,22.11,2412.0,3638.4,12.379
30,31,585,0.00249911,0.00363743,0.00066201,164,28.03,2499.1,3637.4,13.086
31,11,16,0.00240134,0.00323463,0.00061614,1,6.25,2401.3,3234.6,13.2
31,12,564,0.00251798,0.00356973,0.00066195,111,19.68,2518.0,3569.7,12.42
31,13,615,0.0023746,0.00378597,0.00086453,98,15.93,2374.6,3786.0,11.673
31,14,565,0.00250422,0.00368354,0.00092877,190,33.63,2504.2,3683.5,10.966
31,15,457,0.00219109,0.00387036,0.00122113,154,33.7,2191.1,3870.4,10.308
31,16,654,0.00236411,0.00388352,0.00107652,181,27.68,2364.1,3883.5,9.708
31,17,652,0.00236625,0.00386708,0.00103875,184,28.22,2366.2,3867.1,9.179
31,18,544,0.00232833,0.00385156,0.00107288,133,24.45,2328.3,3851.6,8.732
31,19,591,0.00254962,0.00398221,0.00105667,245,41.46,2549.6,3982.2,8.382
31,20,578,0.00259722,0.00404425,0.00098183,217,37.54,2597.2,4044.2,8.139
31,21,534,0.00263024,0.00392085,0.00083351,153,28.65,2630.2,3920.8,8.016
31,22,750,0.00213481,0.00403885,0.00122356,232,30.93,2134.8,4038.8,8.016
31,23,588,0.00229555,0.00381849,0.00099437,109,18.54,2295.5,3818.5,8.139
31,24,581,0.00247179,0.00407378,0.00082934,147,25.3,2471.8,4073.8,8.382
31,25,515,0.00241134,0.00389678,0.00100989,137,26.6,2411.3,3896.8,8.732
