die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
23,13,365,0.00242133,0.0038055,0.00065333,16,4.38,2421.3,3805.5,18.118
23,14,643,0.00251907,0.00356203,0.00073201,74,11.51,2519.1,3562.0,17.671
23,15,654,0.00258289,0.0036095,0.0009069,113,17.28,2582.9,3609.5,17.27
23,16,657,0.00276086,0.00366247,0.00082004,212,32.27,2760.9,3662.5,16.919
23,17,708,0.00275408,0.00364029,0.00083763,214,30.23,2754.1,3640.3,16.621
23,18,712,0.00274795,0.00367956,0.00096545,293,41.15,2748.0,3679.6,16.378
23,19,666,0.00272094,0.00359103,0.00097859,284,42.64,2720.9,3591.0,16.194
23,20,591,0.00254057,0.00361843,0.00104363,172,29.1,2540.6,3618.4,16.07
23,21,696,0.00251908,0.00373032,0.00098715,183,26.29,2519.1,3730.3,16.008
23,22,658,0.00227903,0.00363462,0.00117695,194,29.48,2279.0,3634.6,16.008
23,23,595,0.00256096,0.00362949,0.00104912,196,32.94,2561.0,3629.5,16.07
23,24,626,0.00255356,0.00367337,0.00096899,182,29.07,2553.6,3673.4,16.194
23,25,726,0.00257638,0.00366631,0.00085856,136,18.73,2576.4,3666.3,16.378
23,26,792,0.00248745,0.00364409,0.00103984,215,27.15,2487.4,3644.1,16.621
23,27,576,0.00242967,0.00365139,0.00094756,119,20.66,2429.7,3651.4,16.919
23,28,625,0.00256544,0.00359167,0.00090011,134,21.44,2565.4,3591.7,17.27
23,29,485,0.00264588,0.00359593,0.00067547,75,15.46,2645.9,3595.9,17.671
23,30,436,0.00234476,0.00361731,0.00068619,12,2.75,2344.8,3617.3,18.118
24,13,554,0.00247155,0.00374244,0.00071683,75,13.54,2471.5,3742.4,17.241
24,14,670,0.00235204,0.00359803,0.00096034,123,18.36,2352.0,3598.0,16.771
24,15,567,0.00255251,0.00363559,0.00098141,139,24.51,2552.5,3635.6,16.348
24,16,654,0.00258539,0.00361164,0.00096298,182,27.83,2585.4,3611.6,15.977
24,17,767,0.00243135,0.00369485,0.00102692,180,23.47,2431.4,3694.8,15.66
24,18,650,0.00279642,0.00365282,0.00087392,245,37.69,2796.4,3652.8,15.403
24,19,566,0.00256368,0.00361307,0.00102854,207,36.57,2563.7,3613.1,15.207
24,20,494,0.00274192,0.00363426,0.00084723,187,37.85,2741.9,3634.3,15.075
24,21,644,0.00243454,0.00359447,0.0010209,187,29.04,2434.5,3594.5,15.008
24,22,813,0.0025748,0.00366946,0.00095486,173,21.28,2574.8,3669.5,15.008
24,23,628,0.00240456,0.00365115,0.00099826,121,19.27,2404.6,3651.2,15.075
24,24,784,0.0027087,0.00363638,0.0008847,241,30.74,2708.7,3636.4,15.207
24,25,676,0.00253708,0.00364815,0.000966,148,21.89,2537.1,3648.2,15.403
24,26,706,0.00243978,0.0036206,0.00101165,166,23.51,2439.8,3620.6,15.66
24,27,681,0.00268678,0.00361205,0.00076442,119,17.47,2686.8,3612.0,15.977
24,28,710,0.00253421,0.0036079,0.00089058,107,15.07,2534.2,3607.9,16.348
24,29,514,0.0025832,0.00359407,0.00085105,95,18.48,2583.2,3594.1,16.771
24,30,527,0.00244567,0.00364053,0.00079931,88,16.7,2445.7,3640.5,17.241
25,13,575,0.00246377,0.00387139,0.00077034,71,12.35,2463.8,3871.4,16.378
25,14,714,0.00244235,0.00359612,0.00088964,106,14.85,2442.4,3596.1,15.882
