die_x,die_y,pred_a,pred_b,delta,n_a,n_b
17,21,0.00261598,0.00200341,-0.00061257,152,39
17,22,0.00268537,0.00201502,-0.00067035,150,36
17,23,0.0026088,0.00192215,-0.00068666,141,45
17,24,0.00267668,0.00184678,-0.0008299,157,43
17,25,0.00257987,0.00218411,-0.00039577,167,42
17,26,0.00259161,0.00229153,-0.00030008,149,35
17,27,0.00251013,0.00237925,-0.00013088,117,37
18,15,0.00242575,0.00287892,0.00045317,89,20
18,16,0.00251944,0.00209781,-0.00042162,137,35
18,17,0.00255893,0.00223284,-0.00032609,143,38
18,18,0.00256912,0.00184975,-0.00071937,179,43
18,19,0.0027632,0.00193975,-0.00082346,157,39
18,20,0.0026655,0.0019672,-0.0006983,170,46
18,21,0.00264993,0.00207551,-0.00057442,161,41
18,22,0.00258987,0.00228948,-0.00030039,166,39
18,23,0.00259338,0.00193166,-0.00066172,148,44
18,24,0.00262137,0.00200006,-0.0006213,144,50
18,25,0.00264092,0.00215334,-0.00048757,148,41
18,26,0.00258564,0.00189632,-0.00068933,160,45
18,27,0.00270297,0.00187168,-0.00083129,154,37
18,28,0.00240803,0.002198,-0.00021003,71,25
19,15,0.00247596,0.00253334,5.739e-05,150,38
19,16,0.00259109,0.00206923,-0.00052186,159,46
19,17,0.00269966,0.00199785,-0.00070181,163,48
19,18,0.00263595,0.00201927,-0.00061669,184,38
19,19,0.0026043,0.00218276,-0.00042154,161,41
19,20,0.00260012,0.00202446,-0.00057566,170,40
19,21,0.00259425,0.00187534,-0.00071891,166,38
19,22,0.00263458,0.00176812,-0.00086646,155,33
19,23,0.00268968,0.00201836,-0.00067131,146,47
19,24,0.00269571,0.00183063,-0.00086508,169,48
19,25,0.00265913,0.00189581,-0.00076333,161,50
19,26,0.00258256,0.00219976,-0.00038279,165,34
19,27,0.00263262,0.00200758,-0.00062504,158,35
19,28,0.00257193,0.00266487,9.294e-05,143,36
20,14,0.00233867,0.0022852,-5.347e-05,56,19
20,15,0.00253543,0.00203781,-0.00049763,162,43
20,16,0.00248963,0.00213908,-0.00035055,148,41
20,17,0.00262694,0.00218736,-0.00043958,149,40
20,18,0.00264017,0.00185871,-0.00078146,176,43
20,19,0.00272946,0.00187816,-0.0008513,163,37
20,20,0.00271133,0.00210003,-0.0006113,163,45
