run_id,wafer_no,total_dies,risk_dies,avg_ppm
32,12,84,52,3337.0
32,13,76,48,3360.9
32,14,76,64,3433.3
32,15,80,68,3415.2
32,16,104,104,3459.3
32,17,100,56,3201.6
32,18,104,88,3418.5
32,19,100,52,3294.7
32,20,104,52,3279.8
32,21,68,36,3159.5
32,22,96,40,3307.7
32,23,92,64,3384.7
32,25,96,56,3249.9
33,2,80,28,3344.9
33,3,84,72,3407.6
33,4,72,68,3454.7
33,5,136,124,3381.4
33,7,100,0,3183.0
33,8,92,80,3331.7
33,9,76,60,3397.1
33,10,76,56,3397.2
33,11,68,56,3407.2
33,14,116,100,3424.1
33,15,88,44,3312.1
33,16,100,20,3259.7
33,19,112,72,3402.0
33,20,56,0,3058.2
33,21,88,72,3379.7
33,22,108,0,3067.5
33,23,144,0,3052.9
33,25,88,88,3459.9
34,6,72,56,3399.4
34,7,92,0,3037.2
34,10,92,88,3451.0
34,11,96,60,3297.8
34,12,72,16,3216.5
34,13,92,88,3449.5
34,17,84,72,3394.3
34,18,96,88,3465.7
34,19,68,28,3222.9
34,20,52,40,3405.6
34,21,96,84,3380.3
34,22,64,0,2974.0
35,1,60,56,3439.0
35,3,68,20,3192.6
35,4,92,0,3055.4
35,5,68,48,3365.6
35,10,108,80,3387.2
35,11,112,64,3350.3
35,16,64,0,3141.4
35,17,64,0,3060.6
35,21,112,28,3273.3
35,22,96,4,3039.6
35,23,84,76,3469.4
35,24,80,52,3240.4
36,1,68,0,2505.1
36,2,92,84,3426.1
36,3,88,88,3487.7
36,4,92,92,3499.7
36,5,60,48,3441.8
36,6,116,116,3541.8
36,8,80,80,3505.9
36,9,52,52,3534.6
36,10,76,76,3548.3
36,11,84,76,3506.9
36,12,72,52,3416.0
36,13,72,72,3487.3
36,14,88,88,3511.9
36,15,96,88,3443.6
36,16,40,36,3457.4
36,17,96,76,3471.6
36,18,76,76,3472.1
36,19,92,60,3383.2
36,20,100,72,3422.8
36,21,84,60,3418.2
36,23,64,64,3557.2
36,25,112,100,3502.2
37,2,76,8,3104.9
37,3,72,0,3093.9
37,4,88,0,2863.5
37,5,104,0,1537.8
37,6,64,4,2978.5
37,9,64,0,2202.7
37,11,84,12,3217.3
37,12,68,0,3161.8
37,14,80,0,3055.8
37,15,72,0,2881.1
37,21,88,0,2853.7
37,22,100,0,2916.4
37,24,92,16,2928.8
38,1,76,0,1992.5
38,2,72,0,2559.1
38,3,84,0,2099.6
38,4,68,0,2427.9
38,5,100,4,3051.4
38,6,72,0,952.3
38,7,52,0,1860.7
38,8,76,16,3188.0
38,9,80,0,3041.7
38,10,80,0,1132.2
38,11,92,0,2764.5
38,13,100,4,3053.2
38,14,100,0,2187.4
38,16,124,0,3021.6
38,17,96,0,1595.4
38,18,84,0,2954.9
38,19,100,0,1560.9
38,20,76,0,3020.3
38,21,76,0,3144.4
38,23,84,0,625.7
38,24,96,0,1627.2
38,25,80,0,2883.9
39,3,76,0,1441.1
39,4,64,0,1164.8
39,5,88,0,1064.5
39,6,36,0,1323.5
