feature,corr,abs_corr
X12_min,-0.0022439594614711298,0.0022439594614711298
X1041_max,0.002242175480530066,0.002242175480530066
X17_std,0.0022412379533156635,0.0022412379533156635
X679_median,0.002232569984841532,0.002232569984841532
X734_median,-0.0022282239141848455,0.0022282239141848455
X1002_range,0.002227536015094165,0.002227536015094165
X63_min,-0.00222374506644601,0.00222374506644601
X883_std,0.0022189402763388073,0.0022189402763388073
X121_std,-0.0022180319579848395,0.0022180319579848395
X723_std,-0.0022147188469191243,0.0022147188469191243
X52_max,0.002209880892540402,0.002209880892540402
X820_median,0.002206089618085948,0.002206089618085948
X253_max,0.002199558000975389,0.002199558000975389
X852_mean,-0.002198504157748576,0.002198504157748576
X1066_min,0.002195454329459505,0.002195454329459505
X250_range,0.002192229538554086,0.002192229538554086
X1003_median,0.002188863472953446,0.002188863472953446
X665_range,-0.002186118151727412,0.002186118151727412
X399_min,-0.0021805742123068004,0.0021805742123068004
X32_std,0.002177088106930422,0.002177088106930422
X75_range,-0.002171706351320311,0.002171706351320311
X577_std,0.002168233568089622,0.002168233568089622
X254_min,0.0021673258951111947,0.0021673258951111947
X65_std,0.0021661790608238137,0.0021661790608238137
X337_std,-0.002165417871268508,0.002165417871268508
X840_std,-0.0021622046897721422,0.0021622046897721422
X367_median,-0.002154206277203163,0.002154206277203163
X1016_min,0.002152026687213257,0.002152026687213257
X456_median,0.002150929615685056,0.002150929615685056
X41_std,-0.0021476025361080037,0.0021476025361080037
X748_max,-0.002139033679913933,0.002139033679913933
X894_median,0.00213505702108949,0.00213505702108949
X405_mean,-0.002133297965749324,0.002133297965749324
X790_max,-0.002127069324425242,0.002127069324425242
X789_mean,-0.0021267586822740917,0.0021267586822740917
X247_min,0.0021238345922339895,0.0021238345922339895
X569_max,-0.0021224558259725864,0.0021224558259725864
X207_mean,-0.0021203763656071637,0.0021203763656071637
X376_std,-0.0021020328444284015,0.0021020328444284015
X643_min,-0.0021003062752503487,0.0021003062752503487
X750_mean,-0.002098702140207714,0.002098702140207714
X1066_median,0.0020969578737156237,0.0020969578737156237
X944_median,-0.002094963510731062,0.002094963510731062
X825_min,-0.0020895597631039988,0.0020895597631039988
X725_range,0.0020842631924427924,0.0020842631924427924
X823_max,-0.0020793119713228936,0.0020793119713228936
X1006_mean,0.0020790198479960437,0.0020790198479960437
X335_median,-0.002077478984895366,0.002077478984895366
X451_max,0.002076116561777205,0.002076116561777205
X982_min,-0.002075711144751651,0.002075711144751651
X831_min,-0.0020753953076878334,0.0020753953076878334
X165_mean,0.0020728122047521413,0.0020728122047521413
X738_std,-0.0020720081372614324,0.0020720081372614324
X32_range,0.0020695414910936105,0.0020695414910936105
X856_min,0.0020589285910397196,0.0020589285910397196
X495_min,0.002054580358893269,0.002054580358893269
X907_median,-0.0020536207176230946,0.0020536207176230946
X798_max,0.002052241379928499,0.002052241379928499
X563_mean,0.002046539476079385,0.002046539476079385
X285_mean,-0.002044869656348159,0.002044869656348159
X938_mean,-0.002042684860005329,0.002042684860005329
X720_range,0.002041498421990779,0.002041498421990779
X955_mean,0.0020406429133092794,0.0020406429133092794
X1066_mean,0.0020401916661891423,0.0020401916661891423
X935_max,0.002035817446028933,0.002035817446028933
X379_range,0.0020311130252006495,0.0020311130252006495
X731_range,0.0020268023399463743,0.0020268023399463743
X1004_median,0.0020262617322957277,0.0020262617322957277
X748_median,-0.0020199649555334266,0.0020199649555334266
X947_max,0.0020199412714487727,0.0020199412714487727
X938_max,-0.002017491601645875,0.002017491601645875
X571_max,0.002017446481491528,0.002017446481491528
X69_max,-0.0020160767018391466,0.0020160767018391466
X549_std,0.0019988209904040015,0.0019988209904040015
X817_range,0.0019983312369756655,0.0019983312369756655
X795_max,0.001990439605825868,0.001990439605825868
X6_range,0.0019884024688258195,0.0019884024688258195
X879_median,-0.0019847475842313636,0.0019847475842313636
X400_max,-0.001982669561464362,0.001982669561464362
X656_mean,-0.001979788364513211,0.001979788364513211
X754_min,0.0019746497640583814,0.0019746497640583814
X120_mean,0.0019744731912385164,0.0019744731912385164
X400_min,-0.001968095372581967,0.001968095372581967
X191_median,-0.0019677245921120717,0.0019677245921120717
X935_range,-0.0019658573365027867,0.0019658573365027867
X416_max,0.001958212458407188,0.001958212458407188
X250_std,0.0019572377635115484,0.0019572377635115484
X793_mean,0.0019541849315260528,0.0019541849315260528
X874_max,-0.0019521522587225885,0.0019521522587225885
X120_std,-0.001950854080961889,0.001950854080961889
X919_mean,-0.0019502538646161043,0.0019502538646161043
X937_min,-0.0019484316626368538,0.0019484316626368538
X913_median,-0.001944839040221086,0.001944839040221086
X613_range,0.0019427592973724356,0.0019427592973724356
X825_std,0.0019354114506371528,0.0019354114506371528
X974_std,-0.001931783419858964,0.001931783419858964
X918_std,0.0019294654023424647,0.0019294654023424647
X689_max,0.0019224653069019513,0.0019224653069019513
X646_max,0.0019193112168302679,0.0019193112168302679
X572_std,-0.0019117252304662695,0.0019117252304662695
X73_max,0.0019096592867964282,0.0019096592867964282
X247_range,0.001908063649507172,0.001908063649507172
X974_median,-0.001903708724515447,0.001903708724515447
X931_mean,0.0019035456058975172,0.0019035456058975172
X637_median,-0.001900674991108791,0.001900674991108791
X927_max,-0.0018937125604847138,0.0018937125604847138
X807_std,0.001892924613470467,0.001892924613470467
X661_range,0.0018842080449517475,0.0018842080449517475
X1064_std,-0.0018813095727678527,0.0018813095727678527
X388_range,-0.0018769562382592968,0.0018769562382592968
X667_median,-0.0018729215622662666,0.0018729215622662666
X472_mean,0.0018720926129569787,0.0018720926129569787
X262_mean,-0.0018715961053213047,0.0018715961053213047
X432_range,0.001871038729677602,0.001871038729677602
X6_min,0.0018702276278377492,0.0018702276278377492
X877_min,-0.0018663578622848931,0.0018663578622848931
X17_range,0.0018654482243213241,0.0018654482243213241
X126_median,-0.001864441821387353,0.001864441821387353
X854_min,-0.0018617862541287183,0.0018617862541287183
X918_mean,0.0018614565671462536,0.0018614565671462536
X506_min,-0.0018575957087314974,0.0018575957087314974
X1041_mean,0.0018553577628736815,0.0018553577628736815
X413_min,-0.0018524697379786158,0.0018524697379786158
X250_min,-0.0018504234276029818,0.0018504234276029818
X126_mean,-0.001849769757332243,0.001849769757332243
X951_min,0.0018368882685372624,0.0018368882685372624
X941_mean,-0.0018363625644847274,0.0018363625644847274
X146_std,0.001835492012532773,0.001835492012532773
X572_min,0.0018308975209743446,0.0018308975209743446
X719_max,0.00182737123671827,0.00182737123671827
X572_mean,0.001825822969833453,0.001825822969833453
X749_std,0.0018254944696515468,0.0018254944696515468
X773_median,-0.0018248321881088744,0.0018248321881088744
X849_median,0.0018186262551075454,0.0018186262551075454
X388_min,-0.0018113600874583749,0.0018113600874583749
X805_range,-0.0018046949322299095,0.0018046949322299095
X984_std,0.0018038759171016957,0.0018038759171016957
X791_std,0.0018018186670980966,0.0018018186670980966
X1018_range,0.0018017243968564765,0.0018017243968564765
X443_min,0.0017945253404053518,0.0017945253404053518
X830_max,-0.0017923878916445482,0.0017923878916445482
X1007_range,-0.0017923460125256014,0.0017923460125256014
X1031_min,0.0017843644741545586,0.0017843644741545586
X867_std,-0.0017829885014909075,0.0017829885014909075
X75_std,-0.0017754276723594205,0.0017754276723594205
X1066_max,0.0017656852905292893,0.0017656852905292893
X943_median,-0.001762454297124291,0.001762454297124291
X66_max,-0.0017612659108600642,0.0017612659108600642
X1018_std,0.0017606927064409653,0.0017606927064409653
X733_max,0.0017574194281312159,0.0017574194281312159
X576_max,0.0017555577313928912,0.0017555577313928912
X652_mean,0.0017547743436167418,0.0017547743436167418
X731_std,0.0017511099812273915,0.0017511099812273915
X745_max,-0.0017410714958753842,0.0017410714958753842
X925_mean,0.0017395768796032666,0.0017395768796032666
X50_range,-0.0017384578115149354,0.0017384578115149354
X577_range,0.0017307751515194603,0.0017307751515194603
X713_min,0.0017264847527874657,0.0017264847527874657
X683_min,-0.001726258453315265,0.001726258453315265
X270_range,0.0017254028112977029,0.0017254028112977029
X840_max,-0.0017174621409052542,0.0017174621409052542
X997_median,0.0017155480462494965,0.0017155480462494965
X1015_min,0.0017079359164332139,0.0017079359164332139
X1070_std,-0.001704798640386097,0.001704798640386097
X320_min,0.0017027434965703025,0.0017027434965703025
X368_median,-0.001693170725302252,0.001693170725302252
X881_std,-0.0016861727931419708,0.0016861727931419708
X790_std,-0.0016859836237276757,0.0016859836237276757
X155_mean,0.0016842034035986974,0.0016842034035986974
X783_median,-0.0016826539009319908,0.0016826539009319908
X789_median,0.0016795457932469262,0.0016795457932469262
X839_range,-0.0016767935556547924,0.0016767935556547924
X121_median,-0.001675023125856135,0.001675023125856135
X12_mean,-0.0016701106835491654,0.0016701106835491654
X460_min,0.001667427010200291,0.001667427010200291
X797_median,-0.0016540419107767149,0.0016540419107767149
X657_max,-0.0016531399490941107,0.0016531399490941107
X566_min,-0.0016525405903244118,0.0016525405903244118
X250_mean,0.0016498770354604398,0.0016498770354604398
X32_max,-0.0016421581140918223,0.0016421581140918223
X903_std,-0.0016366331149467019,0.0016366331149467019
X948_range,-0.0016352844966891164,0.0016352844966891164
X651_std,0.0016352051114394183,0.0016352051114394183
X1041_std,0.0016292159218824613,0.0016292159218824613
X1003_min,0.0016269242071195024,0.0016269242071195024
X379_std,0.0016268931286764826,0.0016268931286764826
X931_range,-0.0016263352376792274,0.0016263352376792274
X825_range,0.0016253875487717566,0.0016253875487717566
X64_mean,0.0016204793571458183,0.0016204793571458183
X935_std,-0.001617660359547913,0.001617660359547913
X883_min,-0.0016155944369632014,0.0016155944369632014
X1041_range,0.0016077614524776978,0.0016077614524776978
X921_median,0.0016060815707908023,0.0016060815707908023
X433_mean,0.0015941123931894887,0.0015941123931894887
X783_mean,-0.0015893447216481144,0.0015893447216481144
X399_range,-0.0015870405528539617,0.0015870405528539617
X807_max,0.0015868895285674328,0.0015868895285674328
X910_range,0.0015832352963685418,0.0015832352963685418
X1032_min,-0.0015830998458787572,0.0015830998458787572
X18_median,-0.001579983285995614,0.001579983285995614
X868_std,-0.0015787316783986963,0.0015787316783986963
X145_range,0.001576449434090679,0.001576449434090679
X999_median,0.0015751349733404754,0.0015751349733404754
X899_max,0.0015740634832591982,0.0015740634832591982
X848_mean,0.0015634700709998967,0.0015634700709998967
X835_std,0.0015618971905829435,0.0015618971905829435
X993_median,0.0015607524487382801,0.0015607524487382801
X495_mean,0.0015592845248000484,0.0015592845248000484
X868_range,0.001557974842284286,0.001557974842284286
X722_std,0.0015511276663194688,0.0015511276663194688
X675_std,-0.0015500000076601615,0.0015500000076601615
X950_mean,-0.0015483402544272354,0.0015483402544272354
X434_median,0.0015463598063736577,0.0015463598063736577
X877_median,0.001545915125056732,0.001545915125056732
X395_std,0.0015440390711763431,0.0015440390711763431
X158_min,-0.0015287927406882442,0.0015287927406882442
X451_std,-0.0015258893297172586,0.0015258893297172586
X128_max,-0.0015242326413441398,0.0015242326413441398
X894_mean,0.0015195913759592993,0.0015195913759592993
X202_median,-0.0015189798493506542,0.0015189798493506542
X1068_std,0.001516371917742543,0.001516371917742543
X896_std,-0.0015132009844246654,0.0015132009844246654
X469_max,-0.001513122930207904,0.001513122930207904
X469_median,-0.001513122930207904,0.001513122930207904
X514_min,0.0015131229302079029,0.0015131229302079029
X369_min,0.0015131229302078977,0.0015131229302078977
X921_max,-0.0015131229302078975,0.0015131229302078975
X945_max,-0.0015131229302078966,0.0015131229302078966
X954_max,-0.0015131229302078957,0.0015131229302078957
X473_min,0.0015131229302078927,0.0015131229302078927
X467_median,-0.0015131229302078927,0.0015131229302078927
