feature,importance
X91_min,7
X52_min,7
X346_mean,7
X664_range,7
X874_min,7
X827_mean,7
X1011_std,7
X18_max,7
X650_std,7
X677_range,7
X686_range,7
X450_mean,7
X836_max,7
X680_max,7
X690_max,7
X903_mean,7
X1015_min,7
X1013_std,7
X1018_std,7
X1020_std,7
X829_median,7
X38_max,7
X505_mean,7
X580_min,7
X773_mean,7
X4_range,7
X24_max,7
X27_max,7
X41_median,7
X180_median,7
X664_mean,7
X160_median,7
X1031_min,7
X733_std,7
X892_mean,7
X14_median,7
X649_median,7
X779_mean,7
X862_min,7
X578_range,7
X53_min,7
X59_min,7
X61_min,7
X480_median,7
X173_mean,7
X205_median,7
X122_mean,7
X123_mean,7
X655_min,7
X23_range,7
X613_min,7
X651_mean,7
X1084_max,7
X32_range,7
X549_range,7
X28_median,7
X91_max,7
X95_max,7
X202_mean,7
X665_max,7
X1044_min,7
X775_std,7
X431_std,7
X432_std,7
X62_mean,7
X64_mean,7
X450_std,7
X451_std,7
X127_max,7
X648_min,7
X78_range,7
X431_median,7
X924_std,7
X270_min,7
X748_mean,7
X254_mean,7
X812_std,7
X814_std,7
X785_std,7
X121_min,7
X110_range,7
X653_median,7
X657_median,7
X997_range,7
X462_std,7
X719_median,7
X411_std,7
X725_mean,7
X125_mean,7
X799_mean,7
X122_range,7
X1003_median,7
X980_median,7
X209_min,7
X899_std,7
X903_std,7
X207_mean,7
X240_mean,7
X253_mean,7
X160_min,7
X167_range,7
X187_max,7
X50_min,7
X1018_range,7
X485_max,7
X392_std,7
X1005_mean,7
X1006_mean,7
X1079_mean,7
X354_std,7
X336_max,7
X582_mean,7
X818_std,7
X196_min,7
X197_min,7
X852_mean,7
X35_std,7
X31_mean,7
X7_max,6
X504_min,6
X1017_mean,6
X39_std,6
X791_std,6
X766_std,6
X767_std,6
X767_median,6
X875_max,6
X433_median,6
X789_median,6
X973_std,6
X1000_mean,6
X753_max,6
X503_median,6
X653_range,6
X931_std,6
X948_std,6
X883_std,6
X254_min,6
X641_std,6
X52_median,6
X670_max,6
X318_mean,6
X191_median,6
X854_std,6
X731_max,6
X185_mean,6
X838_mean,6
X174_min,6
X868_median,6
X647_std,6
X594_max,6
X821_mean,6
X822_mean,6
X803_std,6
X581_median,6
X285_mean,6
X296_mean,6
X127_min,6
X298_mean,6
X250_median,6
X161_median,6
X745_mean,6
X76_median,6
X580_std,6
X873_std,6
X874_std,6
X581_std,6
X881_std,6
X80_min,6
X851_median,6
X854_median,6
X782_std,6
X81_median,6
X836_median,6
X593_mean,6
X907_std,6
X859_std,6
X864_std,6
X841_max,6
X563_mean,6
X354_mean,6
X1084_min,6
X481_median,6
X677_std,6
X62_max,6
X576_min,6
X761_mean,6
X444_mean,6
X52_max,6
X485_mean,6
X113_mean,6
X47_median,6
X62_min,6
X64_min,6
X42_max,6
X661_min,6
X61_range,6
X10_range,6
X14_range,6
X569_std,6
X583_std,6
X21_min,6
X39_range,6
X41_range,6
X42_range,6
X50_range,6
X53_range,6
X59_range,6
X561_range,6
X31_median,6
X86_max,6
X951_mean,6
X979_mean,6
X396_mean,6
X668_median,6
X63_range,6
X66_range,6
X67_range,6
X77_range,6
X120_max,6
X122_max,6
X82_mean,6
X785_mean,6
X998_range,6
X455_std,6
X459_std,6
X435_std,6
X33_min,6
X36_min,6
X75_mean,6
X128_range,6
X131_range,6
X676_median,6
X728_median,6
X81_mean,6
X483_max,6
X196_range,6
X209_range,6
X798_mean,6
X120_range,6
X23_min,6
X29_min,6
X254_range,6
X296_range,6
X808_min,6
X173_range,6
X174_range,6
X675_mean,6
X686_mean,6
X1031_max,6
X854_mean,6
X864_mean,6
X1011_median,6
X190_std,6
X1032_median,6
X1031_mean,6
X1032_mean,6
X1018_max,6
X840_std,6
X1044_max,6
X1005_max,6
X991_mean,6
X747_median,6
X664_min,6
X807_median,6
X73_min,5
X76_min,5
X336_mean,5
X122_median,5
X479_min,5
X484_min,5
X499_min,5
X817_mean,5
X819_mean,5
X36_max,5
X656_std,5
X640_std,5
X843_median,5
X732_range,5
X646_std,5
X39_max,5
X40_max,5
X41_max,5
X875_median,5
X572_std,5
X389_mean,5
X390_mean,5
X580_median,5
X780_mean,5
X782_mean,5
X725_range,5
X830_median,5
X71_median,5
X74_median,5
X746_mean,5
X33_max,5
X506_mean,5
X1080_median,5
X689_mean,5
X829_max,5
X1016_median,5
X777_mean,5
X428_mean,5
X431_mean,5
X434_mean,5
X731_min,5
X808_mean,5
X445_mean,5
X764_median,5
X53_max,5
X768_median,5
X905_median,5
X1080_max,5
X10_median,5
X638_median,5
X779_median,5
X585_median,5
X821_median,5
